Fecha,Partner,Pais,Inversion,Registros,primeros_Depositos
2025-10-02,Doradobet,Nicaragua,5.162,,
2025-10-02,Ecuabet,Ecuador,8.984,,
2025-10-02,Paniplay,Honduras,2.375,,
2025-10-03,Aciertala,Perú,2.943,,
2025-10-03,Camanbet,Venezuela,26.066,,
2025-10-03,Doradobet,Chile,4.082,,
2025-10-03,Doradobet,Costa Rica,3.898,,
2025-10-03,Doradobet,Ecuador,11.189,,
2025-10-03,Doradobet,El Salvador,7.141,,
2025-10-03,Doradobet,Guatemala,10.57,,
2025-10-03,Doradobet,Honduras,7.665,,
2025-10-03,Doradobet,Nicaragua,1.839,,
2025-10-03,Ecuabet,Ecuador,8.525,,
2025-10-03,Paniplay,Honduras,1.925,,
2025-10-04,Aciertala,Perú,3.766,,
2025-10-04,Camanbet,Venezuela,21.775,,
2025-10-04,Doradobet,Chile,4.759,,
2025-10-04,Doradobet,Costa Rica,5.414,,
2025-10-04,Doradobet,Ecuador,6.612,,
2025-10-04,Doradobet,El Salvador,7.539000000000001,,
2025-10-04,Doradobet,Guatemala,10.622,,
2025-10-04,Doradobet,Honduras,5.6739999999999995,,
2025-10-04,Doradobet,Nicaragua,3.084,,
2025-10-04,Ecuabet,Ecuador,7.719,,
2025-10-04,Paniplay,Honduras,2.475,,
2025-10-05,Aciertala,Perú,4.372,,
2025-10-05,Camanbet,Venezuela,18.256999999999998,,
2025-10-05,Doradobet,Chile,5.723,,
2025-10-05,Doradobet,Costa Rica,7.782,,
2025-10-05,Doradobet,Ecuador,6.726,,
2025-10-05,Doradobet,El Salvador,9.411,,
2025-10-05,Doradobet,Guatemala,10.605,,
2025-10-05,Doradobet,Honduras,3.49,,
2025-10-05,Doradobet,Nicaragua,3.606,,
2025-10-05,Ecuabet,Ecuador,9.371,,
2025-10-05,Paniplay,Honduras,1.912,,
2025-10-06,Aciertala,Perú,3.4010000000000002,,
2025-10-06,Camanbet,Venezuela,17.333000000000002,,
2025-10-06,Doradobet,Chile,3.437,,
2025-10-06,Doradobet,Costa Rica,16.092,,
2025-10-06,Doradobet,Ecuador,5.405,,
