date      , country, conversions, spending            , campaignid, clicks, impressions, campaignname
2025-10-06, EC     ,           3,  9.0                ,  449834820,      0,       39168, EC_Doradobet_Popunder_Sorteo_Carro_Mobile_CPA
2025-10-06, NI     ,           0,  1.458374           ,  437521620,      0,        5046, NI_Doradobet_Poker_Ruleta_MOBIEL_CPAT
2025-10-06, NI     ,           3,  2.53184            ,  437522820,      0,        6439, NI_Doradobet_Reglo_Registro_MOBIEL_CPA
2025-10-06, NI     ,           0,  0.10607000000000001,  437523420,      0,         873, NI_Doradobet_Reglo_Registro_DESK_CPA
2025-10-06, PE     ,           0,  0.0                ,  448580820,      0,       19454, PE_Doradobet_Jack_Pot_Desk_CPA
2025-10-06, PE     ,           0,  0.0                ,  448840620,      0,       52733, PE_Doradobet_Jack_Pot_Mobile_CPA
2025-10-06, PE     ,           0,  0.0                ,  448841220,      0,       60860, PE_Doradobet_GENERICO_LIGA_1_Mob_CPA
2025-10-06, PE     ,           1,  1.0                ,  448841820,      0,       18086, PE_Doradobet_GENERICO_LIGA_1_Desk_CPA
2025-10-06, PE     ,           3,  6.0                ,  448843020,      0,       94158, PE_Doradobet_Bono_Bienvenida_Desk_CPA
2025-10-06, PE     ,           3,  6.0                ,  448843620,      0,      173450, PE_Doradobet_Bono_Bienvenida_Mob_CPA
2025-10-06, SV     ,           1,  7.4378540000000015 ,  437511420,      0,       14224, ES_Doradobet_Popunder_Regalo_Bono_Mob_CPAT
2025-10-06, SV     ,           0,  0.24402399999999996,  437512020,      0,         988, ES_Doradobet_Popunder_Regalo_Bono_Desk_CPAT
2025-10-06, SV     ,           0,  0.0                ,  442119420,      0,        4178, ES_Doradobet_Popunder_Regalo_Registro_Mobile_CPAT
2025-10-06, SV     ,           0,  0.0                ,  449842020,      0,       13431, ES_Doradobet_Popunder_Deportivas_CPA
2025-10-07, CR     ,           0,  0.0                ,  458606220,      0,        5888, CR_Doradobet_PopUnder_Regalo_por_registro_Mobil
2025-10-07, CR     ,           0,  0.0                ,  458971620,      0,        2615, CR_Doradobet_PopUnder_Regalo_por_registro_Desk
2025-10-07, CR     ,           2,  8.749342000000002  ,  458990820,      0,       18835, CR_Doradobet_PopUnder_Regalo_por_registro_CPAT
2025-10-07, EC     ,           2,  2.5187410000000003 ,  437525820,      0,        9336, EC_Ecuabet_DeportivasMixtas_Mob_CPAT
2025-10-07, EC     ,           0,  1.118348           ,  444589020,      0,        4733, EC_Ecuabet_Popunder_Casino_Desk_CPAT
2025-10-07, EC     ,           0,  4.146605000000001  ,  444589620,      0,       12032, EC_Ecuabet_Popunder_Casino_Mob_CPAT
2025-10-07, EC     ,           0,  0.6931670000000001 ,  444590820,      0,        3872, EC_Ecuabet_DeportivasMixtas_Desk_CPAT
2025-10-07, EC     ,           0,  0.293267           ,  444595020,      0,        2891, DB_Ecuado_Popunder_Crash_Game_Desk_CPA
2025-10-07, EC     ,           0,  0.0                ,  449832420,      0,        8527, EC_Doradobet_Popunder_lLiga_Pro_Mobile_CPA
2025-10-07, EC     ,           0,  0.0                ,  449833020,      0,        6314, EC_Doradobet_Popunder_Crash_Game_Mobile_CPA
2025-10-07, EC     ,           0,  0.0                ,  449834820,      0,       15742, EC_Doradobet_Popunder_Sorteo_Carro_Mobile_CPA
2025-10-07, NI     ,           1,  0.9689530000000002 ,  437521620,      0,        4414, NI_Doradobet_Poker_Ruleta_MOBIEL_CPAT
2025-10-07, NI     ,           0,  2.598697           ,  437522820,      0,        7004, NI_Doradobet_Reglo_Registro_MOBIEL_CPA
2025-10-07, NI     ,           0,  0.09290099999999998,  437523420,      0,         943, NI_Doradobet_Reglo_Registro_DESK_CPA
2025-10-07, PE     ,           3,  6.0                ,  448843020,      0,       49532, PE_Doradobet_Bono_Bienvenida_Desk_CPA
2025-10-07, PE     ,           4,  8.0                ,  448843620,      0,       67986, PE_Doradobet_Bono_Bienvenida_Mob_CPA
2025-10-07, SV     ,           1,  5.962727000000001  ,  437511420,      0,       13079, ES_Doradobet_Popunder_Regalo_Bono_Mob_CPAT
2025-10-07, SV     ,           0,  0.15320799999999998,  437512020,      0,        1071, ES_Doradobet_Popunder_Regalo_Bono_Desk_CPAT
2025-10-07, SV     ,           0,  0.0                ,  442119420,      0,        4005, ES_Doradobet_Popunder_Regalo_Registro_Mobile_CPAT
2025-10-07, SV     ,           0,  0.0                ,  449842020,      0,       11065, ES_Doradobet_Popunder_Deportivas_CPA
2025-10-08, CR     ,           0,  0.0                ,  458606220,      0,        2500, CR_Doradobet_PopUnder_Regalo_por_registro_Mobil
2025-10-08, CR     ,           0,  0.0                ,  458971620,      0,        2508, CR_Doradobet_PopUnder_Regalo_por_registro_Desk
2025-10-08, CR     ,           1,  8.787549000000002  ,  458990820,      0,       19905, CR_Doradobet_PopUnder_Regalo_por_registro_CPAT
2025-10-08, EC     ,           0,  2.3214440000000005 ,  437525820,      0,        9467, EC_Ecuabet_DeportivasMixtas_Mob_CPAT
2025-10-08, EC     ,           1,  1.163086           ,  444589020,      0,        5723, EC_Ecuabet_Popunder_Casino_Desk_CPAT
2025-10-08, EC     ,           0,  3.6512810000000004 ,  444589620,      0,       11951, EC_Ecuabet_Popunder_Casino_Mob_CPAT
2025-10-08, EC     ,           0,  1.8453589999999997 ,  444590820,      0,        8061, EC_Ecuabet_DeportivasMixtas_Desk_CPAT
2025-10-08, EC     ,           0,  0.453601           ,  444595020,      0,        3474, DB_Ecuado_Popunder_Crash_Game_Desk_CPA
2025-10-08, EC     ,           0,  0.0                ,  449832420,      0,        8973, EC_Doradobet_Popunder_lLiga_Pro_Mobile_CPA
2025-10-08, EC     ,           0,  0.0                ,  449833020,      0,        5651, EC_Doradobet_Popunder_Crash_Game_Mobile_CPA
2025-10-08, EC     ,           0,  0.0                ,  449834820,      0,       17126, EC_Doradobet_Popunder_Sorteo_Carro_Mobile_CPA
2025-10-08, NI     ,           0,  0.978492           ,  437521620,      0,        4366, NI_Doradobet_Poker_Ruleta_MOBIEL_CPAT
2025-10-08, NI     ,           0,  2.0788770000000003 ,  437522820,      0,        5810, NI_Doradobet_Reglo_Registro_MOBIEL_CPA
2025-10-08, NI     ,           0,  0.099276           ,  437523420,      0,         915, NI_Doradobet_Reglo_Registro_DESK_CPA
2025-10-08, PE     ,           4,  8.0                ,  448843020,      0,       57918, PE_Doradobet_Bono_Bienvenida_Desk_CPA
2025-10-08, PE     ,           0,  0.0                ,  448843620,      0,       82698, PE_Doradobet_Bono_Bienvenida_Mob_CPA
2025-10-08, SV     ,           1,  5.854173000000001  ,  437511420,      0,       12478, ES_Doradobet_Popunder_Regalo_Bono_Mob_CPAT
2025-10-08, SV     ,           0,  0.179621           ,  437512020,      0,        1138, ES_Doradobet_Popunder_Regalo_Bono_Desk_CPAT
2025-10-08, SV     ,           0,  0.0                ,  442119420,      0,        4237, ES_Doradobet_Popunder_Regalo_Registro_Mobile_CPAT
2025-10-08, SV     ,           0,  0.0                ,  449842020,      0,       10536, ES_Doradobet_Popunder_Deportivas_CPA
2025-10-09, CR     ,           0,  0.0                ,  458606220,      0,        2229, CR_Doradobet_PopUnder_Regalo_por_registro_Mobil
2025-10-09, CR     ,           0,  0.0                ,  458971620,      0,        2578, CR_Doradobet_PopUnder_Regalo_por_registro_Desk
2025-10-09, CR     ,           1,  8.581091           ,  458990820,      0,       19156, CR_Doradobet_PopUnder_Regalo_por_registro_CPAT
2025-10-09, EC     ,           0,  2.4906260000000002 ,  437525820,      0,       11508, EC_Ecuabet_DeportivasMixtas_Mob_CPAT
2025-10-09, EC     ,           1,  1.5176070000000004 ,  444589020,      0,        6804, EC_Ecuabet_Popunder_Casino_Desk_CPAT
2025-10-09, EC     ,           1,  5.503959           ,  444589620,      0,       16837, EC_Ecuabet_Popunder_Casino_Mob_CPAT
2025-10-09, EC     ,           0,  2.445418           ,  444590820,      0,       10494, EC_Ecuabet_DeportivasMixtas_Desk_CPAT
2025-10-09, EC     ,           0,  0.5728530000000001 ,  444595020,      0,        4665, DB_Ecuado_Popunder_Crash_Game_Desk_CPA
2025-10-09, EC     ,           0,  0.0                ,  449832420,      0,       11759, EC_Doradobet_Popunder_lLiga_Pro_Mobile_CPA
2025-10-09, EC     ,           0,  0.0                ,  449833020,      0,        8068, EC_Doradobet_Popunder_Crash_Game_Mobile_CPA
2025-10-09, EC     ,           0,  0.0                ,  449834820,      0,       18196, EC_Doradobet_Popunder_Sorteo_Carro_Mobile_CPA
2025-10-09, NI     ,           1,  1.132046           ,  437521620,      0,        4838, NI_Doradobet_Poker_Ruleta_MOBIEL_CPAT
2025-10-09, NI     ,           0,  1.787447           ,  437522820,      0,        4990, NI_Doradobet_Reglo_Registro_MOBIEL_CPA
2025-10-09, NI     ,           0,  0.08067899999999999,  437523420,      0,         776, NI_Doradobet_Reglo_Registro_DESK_CPA
2025-10-09, PE     ,           2,  4.0                ,  448843020,      0,       56394, PE_Doradobet_Bono_Bienvenida_Desk_CPA
2025-10-09, PE     ,           4,  8.0                ,  448843620,      0,       70875, PE_Doradobet_Bono_Bienvenida_Mob_CPA
2025-10-09, SV     ,           1,  5.707362999999999  ,  437511420,      0,       12508, ES_Doradobet_Popunder_Regalo_Bono_Mob_CPAT
2025-10-09, SV     ,           0,  0.196022           ,  437512020,      0,        1099, ES_Doradobet_Popunder_Regalo_Bono_Desk_CPAT
2025-10-09, SV     ,           0,  0.0                ,  442119420,      0,        3364, ES_Doradobet_Popunder_Regalo_Registro_Mobile_CPAT
